RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03
102001,United States,0,1323,1328,1335,1347,1367,1382,1393,1399,1400,1400,1399,1399,1404,1412,1421,1434,1444,1453,1459,1464,1465,1465,1466,1465,1470,1478,1488,1499,1509,1517,1518,1522,1521,1520,1520,1519,1523,1529,1537,1547,1557,1564,1570,1570,1562,1562,1563,1565,1569,1577,1586,1597,1608,1617,1623,1625,1624,1623,1624,1624,1628,1636,1645,1656,1668,1678,1683,1685,1683,1680,1678,1682,1690,1697,1703,1699,1698,1701,1701,1693,1689,1684,1692,1691,1699,1705,1721
394913,"New York, NY",1,2264,2284,2287,2318,2352,2374,2388,2397,2399,2397,2397,2394,2400,2412,2430,2460,2473,2490,2500,2503,2510,2510,2500,2496,2495,2500,2510,2536,2550,2562,2546,2558,2561,2556,2554,2542,2546,2547,2557,2575,2590,2599,2608,2603,2617,2597,2579,2574,2566,2574,2585,2605,2620,2636,2646,2648,2648,2638,2628,2622,2624,2634,2648,2655,2684,2708,2718,2721,2713,2713,2691,2682,2684,2708,2714,2695,2685,2672,2643,2580,2531,2477,2452,2431,2449,2433,2469
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1708,1728,1737,1764,1798,1831,1854,1870,1877,1885,1893,1896,1907,1913,1929,1944,1957,1968,1985,1999,2012,2014,2026,2032,2043,2053,2067,2084,2103,2114,2117,2132,2140,2146,2145,2152,2157,2171,2182,2201,2214,2223,2234,2243,2247,2249,2250,2251,2260,2271,2276,2291,2300,2318,2325,2335,2340,2350,2355,2356,2357,2366,2372,2382,2390,2405,2416,2424,2427,2424,2425,2434,2447,2452,2450,2429,2413,2419,2419,2414,2412,2413,2426,2420,2424,2423,2441
394463,"Chicago, IL",3,1428,1439,1441,1458,1480,1495,1505,1509,1504,1496,1494,1491,1497,1502,1492,1503,1525,1542,1551,1557,1553,1543,1536,1536,1543,1552,1564,1579,1591,1602,1607,1606,1597,1585,1576,1573,1569,1583,1597,1611,1625,1633,1638,1631,1624,1610,1601,1602,1606,1616,1627,1638,1652,1663,1667,1665,1655,1642,1636,1635,1644,1653,1667,1682,1695,1704,1710,1711,1702,1694,1687,1685,1694,1702,1710,1706,1707,1708,1702,1689,1670,1652,1645,1641,1638,1642,1661
394514,"Dallas-Fort Worth, TX",4,1140,1130,1141,1158,1178,1195,1203,1209,1210,1208,1209,1213,1213,1221,1234,1244,1253,1264,1270,1274,1273,1271,1276,1270,1273,1284,1295,1308,1319,1331,1337,1340,1339,1342,1340,1340,1342,1347,1357,1364,1375,1386,1391,1391,1388,1387,1387,1388,1391,1397,1403,1411,1417,1429,1433,1430,1428,1431,1439,1435,1439,1446,1452,1463,1473,1483,1487,1487,1484,1486,1483,1484,1489,1496,1500,1494,1489,1494,1499,1498,1499,1501,1514,1519,1516,1523,1548
394974,"Philadelphia, PA",5,1292,1269,1288,1300,1317,1328,1340,1341,1340,1335,1328,1316,1330,1332,1344,1354,1366,1370,1376,1373,1373,1373,1370,1373,1367,1376,1387,1401,1408,1414,1419,1412,1414,1411,1416,1417,1414,1417,1425,1433,1439,1443,1444,1443,1441,1438,1436,1435,1434,1445,1454,1466,1479,1480,1484,1486,1485,1486,1489,1489,1493,1501,1511,1519,1525,1531,1538,1536,1535,1535,1540,1542,1543,1550,1560,1554,1549,1552,1555,1554,1558,1551,1565,1568,1575,1583,1592
394692,"Houston, TX",6,1153,1145,1163,1196,1232,1254,1269,1276,1277,1280,1274,1276,1279,1284,1293,1302,1312,1320,1323,1324,1323,1313,1314,1312,1311,1315,1319,1324,1328,1333,1333,1328,1326,1321,1315,1312,1310,1311,1314,1317,1323,1326,1323,1323,1329,1338,1344,1350,1351,1357,1362,1368,1374,1378,1382,1381,1376,1369,1373,1368,1365,1368,1377,1384,1394,1400,1405,1404,1400,1393,1392,1397,1400,1401,1406,1401,1390,1393,1390,1391,1394,1388,1404,1404,1404,1394,1417
395209,"Washington, DC",7,1756,1769,1770,1785,1823,1845,1862,1869,1872,1865,1853,1840,1850,1853,1861,1874,1883,1892,1896,1894,1892,1893,1895,1889,1890,1901,1911,1920,1929,1940,1917,1930,1930,1924,1919,1916,1924,1929,1935,1953,1965,1971,1976,1972,1963,1953,1943,1941,1941,1949,1955,1973,1991,2006,2015,2016,2009,2003,1999,1998,1999,2014,2024,2038,2054,2066,2069,2072,2067,2060,2049,2051,2062,2067,2077,2070,2060,2057,2050,2033,2014,1988,1999,1996,1987,1976,1999
394856,"Miami-Fort Lauderdale, FL",8,1494,1489,1492,1501,1511,1519,1535,1545,1556,1563,1568,1574,1580,1592,1593,1596,1609,1616,1622,1635,1645,1651,1657,1661,1668,1679,1683,1683,1688,1689,1689,1695,1699,1701,1705,1706,1706,1707,1711,1712,1711,1713,1718,1721,1727,1733,1733,1737,1740,1746,1745,1751,1752,1760,1765,1772,1778,1783,1790,1790,1790,1795,1795,1796,1801,1801,1805,1813,1814,1822,1829,1836,1844,1849,1851,1841,1830,1830,1833,1836,1834,1843,1856,1866,1879,1904,1936
394347,"Atlanta, GA",9,1074,1086,1095,1095,1107,1120,1125,1129,1129,1129,1133,1133,1135,1141,1150,1160,1171,1182,1191,1194,1191,1189,1190,1192,1198,1206,1219,1232,1243,1255,1262,1266,1267,1271,1269,1269,1274,1279,1288,1297,1308,1320,1329,1334,1337,1331,1332,1333,1339,1347,1360,1369,1383,1391,1399,1406,1410,1412,1419,1423,1433,1439,1446,1458,1463,1472,1482,1486,1488,1485,1482,1483,1489,1497,1506,1500,1499,1507,1516,1527,1540,1548,1561,1565,1571,1588,1622
